Member,Cluster,Custer2
110095|21577|Lithuania|01/2009-12/2020,110095|21577|Lithuania|01/2009-12/2020,110095|21577|Lithuania|01/2009-12/2020
110195|15289|Lithuania|,110195|15289|Lithuania|,110195|15289|Lithuania|
110201|25578|Lithuania|,110201|25578|Lithuania|,110201|25578|Lithuania|
120132|324/MK1415|Lithuania|,120132|324/MK1415|Lithuania|,120132|324/MK1415|Lithuania|
120134|558/MK4408|Lithuania|,120134|558/MK4408|Lithuania|,120134|558/MK4408|Lithuania|
120139|836/MK30841|Lithuania|,19977|M10_240531|UK_[England]|07/2010-06/2011,19977|M10_240531|UK_[England]|07/2010-06/2011
120137|618/MK16441|Lithuania|,20154|M10_240817|UK_[England]|07/2010-06/2011,20154|M10_240817|UK_[England]|07/2010-06/2011
110181|36|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110183|685|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110184|863|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110185|2619|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110186|2988|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110187|4557|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110188|5521|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110194|14237|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110196|18981|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110197|19146|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110199|19669|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110202|35685|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110203|35803|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110204|36536|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110205|37312|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110206|40653|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
119504|79/MK3193|Lithuania|,20089|M10_240719|UK_[England]|07/2010-06/2011,20089|M10_240719|UK_[England]|07/2010-06/2011
110192|13597|Lithuania|,63439|M18_240372|UK_[England]|07/2017-06/2018,20089|M10_240719|UK_[England]|07/2010-06/2011
110193|13640|Lithuania|,63439|M18_240372|UK_[England]|07/2017-06/2018,20089|M10_240719|UK_[England]|07/2010-06/2011
110207|42438|Lithuania|,21115|M11_240474|UK_[Northern_Ireland]|07/2011-06/2012,21115|M11_240474|UK_[Northern_Ireland]|07/2011-06/2012
120133|428/MK3120|Lithuania|,27898|M12_240899|UK_[England]|07/2012-06/2013,20357|M11_240290|UK_[England]|07/2010-06/2011
